@relation clean_data

@attribute Location {Mumbai,Pune,Chennai,Coimbatore,Hyderabad,Jaipur,Kochi,Delhi,Bangalore,Kolkata,Ahmedabad}
@attribute Year numeric
@attribute Kilometers_Driven numeric
@attribute Fuel_Type {CNG,Diesel,Petrol,LPG,Electric}
@attribute Mileage numeric
@attribute Engine numeric
@attribute Power numeric
@attribute Seats numeric
@attribute Price numeric

@data
Mumbai,2010,72000,CNG,26.6,998,58.16,5,1.75
Pune,2015,41000,Diesel,19.67,1582,126.2,5,12.5
Chennai,2011,46000,Petrol,18.2,1199,88.7,5,4.5
Chennai,2012,87000,Diesel,20.77,1248,88.76,7,6
Coimbatore,2013,40670,Diesel,15.2,1968,140.8,5,17.74
Hyderabad,2012,75000,LPG,21.1,814,55.2,5,2.35
Jaipur,2013,86999,Diesel,23.08,1461,63.1,5,3.5
Mumbai,2016,36000,Diesel,11.36,2755,171.5,8,17.5
Pune,2013,64430,Diesel,20.54,1598,103.6,5,5.2
Chennai,2012,65932,Diesel,22.3,1248,74,5,1.95
Kochi,2018,25692,Petrol,21.56,1462,103.25,5,9.95
Jaipur,2012,60000,Petrol,16.8,1497,116.3,5,4.49
Delhi,2015,64424,Diesel,25.2,1248,74,5,5.6
Pune,2014,72000,Diesel,12.7,2179,187.7,5,27
Delhi,2012,85000,Diesel,0,2179,115,5,17.5
Kochi,2014,110000,Diesel,13.5,2477,175.56,7,15
Jaipur,2016,58950,Diesel,25.8,1498,98.6,5,5.4
Kochi,2017,25000,Diesel,28.4,1248,74,5,5.99
Bangalore,2014,77469,Diesel,20.45,1461,83.8,5,6.34
Kochi,2014,78500,Diesel,14.84,2143,167.62,5,28
Bangalore,2014,32982,Diesel,22.69,1995,190,5,18.55
Mumbai,2015,55392,Diesel,23.65,1248,88.5,5,8.25
Kolkata,2015,55985,Petrol,13.53,1984,177.01,5,23.5
Kolkata,2010,45807,Petrol,18.5,1197,80,5,1.87
Mumbai,2010,33000,Petrol,14.4,1598,103.6,5,2.85
Hyderabad,2012,51920,Petrol,16.8,1497,116.3,5,4.25
Hyderabad,2012,54000,Diesel,23.08,1461,63.1,5,4.25
Kochi,2013,54000,Petrol,20.92,998,67.1,5,2.75
Mumbai,2018,37430,Petrol,17.5,1199,88.7,5,9.9
Bangalore,2007,262000,Diesel,12.8,2494,102,7,4
